Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Paul Skenes (38265267),Paul Skenes,38265267,P,10200,PIT@TB 03/31/2025 07:05PM ET,PIT,23.74
SP,Tyler Glasnow (38264980),Tyler Glasnow,38264980,P,10000,ATL@LAD 03/31/2025 10:10PM ET,LAD,22.42
SP,Tarik Skubal (38265268),Tarik Skubal,38265268,P,9800,DET@SEA 03/31/2025 09:40PM ET,DET,23.91
SP,Dylan Cease (38265269),Dylan Cease,38265269,P,9400,CLE@SD 03/31/2025 09:40PM ET,SD,19.17
SP,Chris Sale (38265270),Chris Sale,38265270,P,9100,ATL@LAD 03/31/2025 10:10PM ET,ATL,24.65
SP,Ronel Blanco (38264981),Ronel Blanco,38264981,P,9000,SF@HOU 03/31/2025 08:10PM ET,HOU,18.26
RP,Hunter Brown (38265274),Hunter Brown,38265274,P,9000,SF@HOU 03/31/2025 08:10PM ET,HOU,17.07
RP,Yoshinobu Yamamoto (38265271),Yoshinobu Yamamoto,38265271,P,9000,ATL@LAD 03/31/2025 10:10PM ET,LAD,16.93
SP,Blake Snell (38265272),Blake Snell,38265272,P,9000,ATL@LAD 03/31/2025 10:10PM ET,LAD,20.8
SP,Dustin May (38265273),Dustin May,38265273,P,9000,ATL@LAD 03/31/2025 10:10PM ET,LAD,0
RP,Shota Imanaga (38265276),Shota Imanaga,38265276,P,8900,CHC@ATH 03/31/2025 10:05PM ET,CHC,19.93
RP,Michael King (38265279),Michael King,38265279,P,8900,CLE@SD 03/31/2025 09:40PM ET,SD,19.74
SP,George Kirby (38265275),George Kirby,38265275,P,8900,DET@SEA 03/31/2025 09:40PM ET,SEA,17.33
RP,Roki Sasaki (38265277),Roki Sasaki,38265277,P,8900,ATL@LAD 03/31/2025 10:10PM ET,LAD,0
RP,Spencer Strider (38265278),Spencer Strider,38265278,P,8900,ATL@LAD 03/31/2025 10:10PM ET,ATL,10.62
RP,Jackson Jobe (38264982),Jackson Jobe,38264982,P,8800,DET@SEA 03/31/2025 09:40PM ET,DET,1.49
SP,Spencer Schwellenbach (38265280),Spencer Schwellenbach,38265280,P,8700,ATL@LAD 03/31/2025 10:10PM ET,ATL,18.63
SP,Tanner Bibee (38265283),Tanner Bibee,38265283,P,8600,CLE@SD 03/31/2025 09:40PM ET,CLE,17.06
SP,Jack Flaherty (38265281),Jack Flaherty,38265281,P,8600,DET@SEA 03/31/2025 09:40PM ET,DET,18.53
SP,Luis Castillo (38265282),Luis Castillo,38265282,P,8600,DET@SEA 03/31/2025 09:40PM ET,SEA,17.35
SP,Logan Gilbert (38265284),Logan Gilbert,38265284,P,8600,DET@SEA 03/31/2025 09:40PM ET,SEA,20.74
SP,Drew Rasmussen (38264983),Drew Rasmussen,38264983,P,8500,PIT@TB 03/31/2025 07:05PM ET,TB,6.12
SP,Taj Bradley (38265285),Taj Bradley,38265285,P,8500,PIT@TB 03/31/2025 07:05PM ET,TB,16.85
SP,Shane McClanahan (38265288),Shane McClanahan,38265288,P,8500,PIT@TB 03/31/2025 07:05PM ET,TB,0
SP,Ryan Pepiot (38265289),Ryan Pepiot,38265289,P,8500,PIT@TB 03/31/2025 07:05PM ET,TB,15.78
RP,Zack Littell (38265290),Zack Littell,38265290,P,8500,PIT@TB 03/31/2025 07:05PM ET,TB,14.32
